frame,time_s,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
397,6.62328,654,508,785,604,16.734,53.765,0
398,6.63997,661,506,782,615,19.341,47.987,0
399,6.65665,669,503,778,625,22.4,41.779,0
400,6.67333,677,499,771,633,25.602,35.049,0
401,6.69002,,,761,639,,,1
402,6.7067,690,492,750,644,30.902,21.541,0
403,6.72338,695,489,,,,,1
404,6.74007,699,487,724,648,34.582,8.826,0
405,6.75675,701,485,710,649,35.579,3.141,0
406,6.77343,701,485,699,648,35.579,-0.703,0
407,6.79012,701,485,686,648,35.579,-5.258,0
408,6.8068,699,487,674,648,34.582,-8.826,0
409,6.82348,696,489,663,649,33.294,-11.654,0
410,6.84017,691,492,,,,,1
411,6.85685,686,495,643,653,29.124,-15.224,0
412,6.87353,679,499,633,656,26.246,-16.33,0
413,6.89022,671,502,625,660,23.199,-16.232,0
414,6.9069,660,506,,,,,1
415,6.92358,649,509,,,,,1
416,6.94027,636,513,607,673,10.049,-10.273,0
417,6.95695,622,515,,,,,1
418,6.97363,608,516,,,,,1
419,6.99032,593,515,,,,,1
420,7.007,578,513,,,,,1
421,7.02368,565,510,,,,,1
422,7.04037,554,506,,,,,1
423,7.05705,543,502,,,,,1
424,7.07373,534,498,,,,,1
425,7.09042,526,494,,,,,1
426,7.1071,521,490,553,650,-32.8,11.31,0
427,7.12378,515,486,,,,,1
428,7.14047,512,483,,,,,1
429,7.15715,509,481,524,644,-38.157,5.258,0
430,7.17383,508,481,514,643,-38.437,2.121,0
431,7.19052,508,481,,,,,1
432,7.2072,509,481,,,,,1
433,7.22388,513,484,479,643,-36.369,-12.07,0
434,7.24057,516,487,,,,,1
435,7.25725,521,491,,,,,1
436,7.27393,528,495,446,632,-29.745,-30.902,0
437,7.29062,535,499,438,625,-26.882,-37.591,0
438,7.3073,543,502,433,617,-23.854,-43.727,0
439,7.32398,552,506,430,609,-20.348,-49.827,0
440,7.34067,559,508,430,601,-17.758,-54.211,0
441,7.35735,567,510,,,,,1
442,7.37403,574,512,,,,,1
443,7.39072,580,513,438,583,-10.049,-63.759,0
444,7.4074,587,514,443,580,-7.524,-65.376,0
445,7.42408,594,515,,,,,1
446,7.44077,600,515,,,,,1
447,7.45745,606,515,461,583,-0.716,-64.875,0
448,7.47413,612,515,469,587,1.432,-63.275,0
449,7.49082,617,515,478,593,3.219,-60.701,0
450,7.5075,622,514,486,601,5.032,-57.393,0
451,7.52418,626,514,497,610,6.459,-53.344,0
452,7.54087,629,513,509,621,7.571,-48.013,0
453,7.55755,631,513,522,632,8.282,-42.489,0
454,7.57423,631,513,537,645,8.282,-35.455,0
455,7.59092,631,513,554,657,8.282,-28.134,0
456,7.6076,629,514,573,667,7.524,-20.103,0
457,7.62428,625,514,595,675,6.103,-10.555,0
458,7.64097,619,515,618,678,3.933,-0.352,0
459,7.65765,613,515,641,676,1.79,9.866,0
460,7.67433,607,515,664,668,-0.358,20.433,0
461,7.69102,603,515,,,,,1
462,7.7077,600,515,,,,,1
463,7.72438,598,515,,,,,1
464,7.74107,598,515,,,,,1
465,7.75775,599,515,,,,,1
466,7.77443,601,515,,,,,1
467,7.79112,603,515,,,,,1
468,7.8078,606,515,,,,,1
469,7.82448,609,515,,,,,1
470,7.84117,613,515,,,,,1
471,7.85785,616,514,,,,,1
472,7.87453,620,514,,,,,1
473,7.89122,624,514,,,,,1
474,7.9079,629,513,,,,,1
475,7.92458,633,512,,,,,1
476,7.94127,637,512,,,,,1
477,7.95795,642,511,,,,,1
478,7.97463,647,509,,,,,1
479,7.99132,652,508,,,,,1
480,8.008,657,507,,,,,1
481,8.02468,663,505,,,,,1
482,8.04137,669,503,,,,,1
483,8.05805,675,500,,,,,1
484,8.07473,681,497,,,,,1
485,8.09142,685,495,,,,,1
486,8.1081,,,,,,,1
487,8.12478,689,493,,,,,1
488,8.14147,689,493,,,,,1
489,8.15815,,,,,,,1
490,8.17483,685,495,,,,,1
491,8.19152,681,498,630,653,27.044,-18.213,0
492,8.2082,675,500,,,,,1
493,8.22488,668,503,,,,,1
494,8.24157,660,506,,,,,1
495,8.25825,651,509,,,,,1
496,8.27493,641,512,,,,,1
497,8.29162,629,514,,,,,1
498,8.3083,616,515,,,,,1
499,8.32498,602,516,,,,,1
500,8.34167,588,515,,,,,1
501,8.35835,574,513,,,,,1
502,8.37503,560,508,,,,,1
503,8.39172,548,505,,,,,1
504,8.4084,538,500,,,,,1
505,8.42508,529,495,,,,,1
506,8.44177,521,490,,,,,1
507,8.45845,516,486,,,,,1
508,8.47513,510,482,,,,,1
509,8.49182,506,479,,,,,1
510,8.5085,503,477,,,,,1
511,8.52518,502,475,,,,,1
512,8.54187,502,475,,,,,1
513,8.55855,503,476,,,,,1
514,8.57523,505,478,,,,,1
515,8.59192,508,481,473,640,-38.437,-12.414,0
516,8.6086,513,485,,,,,1
517,8.62528,520,489,,,,,1
518,8.64197,527,494,,,,,1
519,8.65865,535,499,,,,,1
520,8.67533,545,503,,,,,1
521,8.69202,554,507,,,,,1
522,8.7087,564,509,,,,,1
523,8.72538,572,512,,,,,1
524,8.74207,582,513,,,,,1
525,8.75875,590,514,,,,,1
526,8.77543,598,515,463,602,-3.576,-57.2,0
527,8.79212,606,515,472,602,-0.716,-57.006,0
528,8.8088,612,515,481,605,1.432,-55.51,0
529,8.82548,619,514,,,,,1
530,8.84217,626,514,500,614,6.459,-51.563,0
531,8.85885,631,514,511,622,8.231,-48.013,0
532,8.87553,635,513,523,628,9.697,-44.243,0
533,8.89222,639,512,538,639,11.17,-38.494,0
534,8.9089,641,511,,,,,1
535,8.92558,642,511,571,658,12.295,-25.78,0
536,8.94227,641,511,591,666,11.944,-17.879,0
537,8.95895,639,512,611,673,11.17,-9.866,0
538,8.97563,635,512,632,676,9.758,-1.048,0
539,8.99232,629,513,,,,,1
540,9.009,624,514,677,669,5.746,18.877,0
541,9.02568,619,515,696,659,3.933,28.134,0
542,9.04237,616,515,716,645,2.862,37.569,0
543,9.05905,613,515,,,,,1
544,9.07573,612,515,738,619,1.432,50.464,0
545,9.09242,612,515,,,,,1
546,9.1091,612,515,,,,,1
547,9.12578,613,515,,,,,1
548,9.14247,615,515,,,,,1
549,9.15915,617,514,,,,,1
550,9.17583,619,514,,,,,1
551,9.19252,621,514,,,,,1
552,9.2092,624,513,,,,,1
553,9.22588,627,514,,,,,1
554,9.24257,629,513,,,,,1
555,9.25925,632,513,,,,,1
556,9.27593,635,512,,,,,1
557,9.29262,637,512,,,,,1
558,9.3093,641,511,786,583,11.944,63.593,0
559,9.32598,644,511,,,,,1
560,9.34267,648,509,,,,,1
561,9.35935,652,508,,,,,1
562,9.37603,657,507,,,,,1
563,9.39272,662,505,,,,,1
564,9.4094,667,504,,,,,1
565,9.42608,672,501,,,,,1
566,9.44277,676,500,,,,,1
567,9.45945,678,499,,,,,1
568,9.47613,679,499,,,,,1
569,9.49282,679,499,,,,,1
570,9.5095,676,499,,,,,1
571,9.52618,673,501,,,,,1
572,9.54287,668,503,,,,,1
573,9.55955,662,505,,,,,1
574,9.57623,655,508,,,,,1
575,9.59292,647,510,,,,,1
576,9.6096,638,512,,,,,1
577,9.62628,627,514,,,,,1
578,9.64297,615,515,,,,,1
579,9.65965,603,515,,,,,1
580,9.67633,590,515,,,,,1
581,9.69302,576,513,,,,,1
582,9.7097,563,510,,,,,1
583,9.72638,551,505,,,,,1
584,9.74307,539,500,,,,,1
585,9.75975,529,495,,,,,1
586,9.77643,521,491,,,,,1
587,9.79312,515,486,,,,,1
588,9.8098,509,481,,,,,1
589,9.82648,505,478,,,,,1
590,9.84317,502,475,,,,,1
591,9.85985,500,474,,,,,1
592,9.87653,499,474,,,,,1
593,9.89322,500,474,,,,,1
594,9.9099,501,475,,,,,1
595,9.92658,504,477,,,,,1
596,9.94327,508,481,,,,,1
597,9.95995,514,485,,,,,1
598,9.97663,520,490,,,,,1
599,9.99332,529,496,,,,,1
600,10.01,539,501,,,,,1
601,10.02668,548,504,,,,,1
602,10.04337,559,509,,,,,1
603,10.06005,569,511,,,,,1
604,10.07673,578,513,,,,,1
605,10.09342,588,514,,,,,1
606,10.1101,597,515,,,,,1
