frame,time_s,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
229,3.82048,600,516,713,631,-2.845,44.497,0
230,3.83717,600,516,726,619,-2.845,50.735,0
231,3.85385,600,516,735,607,-2.845,56.017,0
232,3.87053,602,515,745,595,-2.148,60.776,0
233,3.88722,604,516,752,585,-1.423,65.004,0
234,3.9039,607,517,759,577,-0.354,68.459,0
235,3.92058,610,516,764,570,0.712,70.677,0
236,3.93727,613,517,770,565,1.768,73.0,0
237,3.95395,617,516,774,563,3.2,73.334,0
238,3.97063,621,515,778,561,4.645,73.67,0
239,3.98732,625,516,782,563,6.028,73.334,0
240,4.004,631,516,785,565,8.13,72.35,0
241,4.02068,635,515,787,570,9.578,70.108,0
242,4.03737,639,515,788,576,10.965,67.736,0
243,4.05405,642,512,788,584,12.219,63.75,0
244,4.07073,647,512,788,595,13.95,59.517,0
245,4.08742,652,510,785,605,15.848,54.462,0
246,4.1041,659,509,780,617,18.323,48.249,0
247,4.12078,664,505,773,628,20.472,41.547,0
248,4.13747,671,502,763,638,23.199,34.077,0
249,4.15415,676,500,749,646,25.125,26.565,0
250,4.17083,681,498,734,653,27.044,18.877,0
251,4.18752,685,495,718,656,28.811,11.583,0
252,4.2042,688,493,702,656,30.101,4.909,0
253,4.22088,690,493,685,655,30.719,-1.768,0
254,4.23757,690,493,670,655,30.719,-7.038,0
255,4.25425,689,494,656,655,30.231,-11.583,0
256,4.27093,686,496,642,654,28.951,-15.562,0
257,4.28762,682,499,628,653,27.198,-19.323,0
258,4.3043,677,500,616,653,25.448,-21.737,0
259,4.32098,669,503,604,655,22.4,-23.153,0
260,4.33767,661,507,593,657,19.223,-24.386,0
261,4.35435,653,509,584,659,16.289,-24.702,0
262,4.37103,641,512,574,662,11.87,-24.069,0
263,4.38772,628,511,567,666,7.306,-21.482,0
264,4.4044,615,514,561,670,2.521,-19.093,0
265,4.42108,601,518,556,672,-2.459,-16.289,0
266,4.43777,587,517,553,674,-7.386,-12.219,0
267,4.45445,573,512,550,674,-12.567,-8.081,0
268,4.47113,559,509,547,671,-17.65,-4.236,0
269,4.48782,548,504,544,667,-21.934,-1.406,0
270,4.5045,538,500,542,661,-25.769,1.423,0
271,4.52118,528,495,537,657,-29.745,3.18,0
272,4.53787,520,491,533,652,-32.905,4.616,0
273,4.55455,516,485,528,648,-35.287,4.21,0
274,4.57123,510,483,522,644,-37.439,4.263,0
275,4.58792,507,480,517,642,-38.938,3.532,0
276,4.6046,504,478,510,641,-40.215,2.108,0
277,4.62128,503,477,502,639,-40.717,-0.354,0
278,4.63797,503,476,495,639,-40.95,-2.81,0
279,4.65465,504,477,487,639,-40.446,-5.991,0
280,4.67133,505,479,479,641,-39.715,-9.118,0
281,4.68802,508,482,471,641,-38.217,-13.1,0
282,4.7047,514,485,462,641,-35.87,-18.435,0
283,4.72138,519,490,455,638,-33.395,-23.385,0
284,4.73807,527,495,448,636,-30.052,-29.261,0
285,4.75475,535,502,444,631,-26.409,-35.2,0
286,4.77143,546,504,441,626,-22.593,-40.717,0
287,4.78812,556,505,440,620,-19.12,-45.248,0
288,4.8048,564,510,442,614,-15.848,-49.554,0
289,4.82148,572,514,446,609,-12.758,-52.985,0
290,4.83817,581,514,450,605,-9.638,-55.214,0
291,4.85485,589,516,456,603,-6.73,-56.81,0
292,4.87153,598,517,463,602,-3.532,-57.804,0
293,4.88822,605,516,471,602,-1.067,-57.308,0
294,4.9049,613,516,479,605,1.779,-56.409,0
295,4.92158,618,518,489,608,3.511,-55.098,0
296,4.93827,627,516,499,614,6.73,-52.561,0
297,4.95495,631,516,511,622,8.13,-48.545,0
298,4.97163,634,515,522,630,9.23,-44.243,0
299,4.98832,638,513,537,639,10.751,-38.715,0
300,5.005,640,511,552,648,11.592,-32.714,0
301,5.02168,642,511,570,658,12.295,-26.095,0
302,5.03837,640,509,591,667,11.739,-17.23,0
303,5.05505,639,513,612,674,11.101,-9.52,0
304,5.07173,635,513,633,676,9.697,-0.703,0
305,5.08842,630,516,657,675,7.781,9.638,0
306,5.1051,624,514,677,668,5.746,18.991,0
307,5.12178,620,516,696,658,4.263,28.156,0
308,5.13847,616,516,713,646,2.845,36.729,0
309,5.15515,614,516,727,633,2.134,44.004,0
310,5.17183,613,515,738,619,1.79,50.24,0
311,5.18852,613,517,749,605,1.768,57.095,0
312,5.2052,613,516,757,595,1.779,61.25,0
313,5.22188,615,516,762,583,2.49,65.497,0
314,5.23857,616,516,768,573,2.845,69.444,0
315,5.25525,618,515,772,567,3.576,71.342,0
316,5.27193,619,513,777,561,3.983,73.101,0
317,5.28862,623,515,780,557,5.356,75.023,0
318,5.3053,625,515,782,555,6.065,75.706,0
319,5.32198,628,514,785,555,7.169,75.364,0
320,5.33867,631,514,787,558,8.231,74.249,0
321,5.35535,633,514,788,561,8.936,73.131,0
322,5.37203,635,515,788,567,9.578,71.229,0
323,5.38872,638,512,788,575,10.818,67.218,0
324,5.4054,642,512,787,584,12.219,63.593,0
325,5.42208,645,512,784,595,13.261,59.158,0
326,5.43877,648,511,780,607,14.381,53.973,0
327,5.45545,652,509,774,618,15.945,48.221,0
328,5.47213,656,508,765,630,17.418,41.779,0
329,5.48882,661,507,752,642,19.223,33.983,0
330,5.5055,667,503,737,651,21.735,25.313,0
