frame,time_s,gx_crop,gy_crop,rx_crop,ry_crop
574,9.576233,263,473,179,347
575,9.592917,268,474,197,341
576,9.609600,276,476,214,337
577,9.626283,287,479,231,337
578,9.642967,301,480,246,338
579,9.659650,316,481,259,339
580,9.676333,333,480,270,340
581,9.693017,347,477,279,341
582,9.709700,359,474,287,340
583,9.726383,366,470,296,336
584,9.743067,372,469,303,334
585,9.759750,370,469,310,329
586,9.776433,362,472,322,325
587,9.793117,353,475,332,325
588,9.809800,342,478,344,326
589,9.826483,329,480,357,330
590,9.843167,312,481,371,339
591,9.859850,295,480,384,354
592,9.876533,278,476,396,377
593,9.893217,262,471,401,407
594,9.909900,247,466,399,445
595,9.926583,234,459,385,487
596,9.943267,228,454,361,532
597,9.959950,227,454,334,570
598,9.976633,233,458,289,598
599,9.993317,247,466,239,615
600,10.010000,268,476,192,600
601,10.026683,286,479,164,567
602,10.043367,299,480,155,521
603,10.060050,305,480,157,477
604,10.076733,308,481,165,432
605,10.093417,307,481,183,393
606,10.110100,306,481,211,363
607,10.126783,309,481,246,344
608,10.143467,319,481,280,334
609,10.160150,331,480,318,327
610,10.176833,343,478,350,327
611,10.193517,355,474,385,326
612,10.210200,366,471,420,330
613,10.226883,376,467,455,338
614,10.243567,384,464,487,354
615,10.260250,391,459,516,376
616,10.276933,398,455,540,406
617,10.293617,403,450,554,441
618,10.310300,408,447,554,480
619,10.326983,410,444,542,517
620,10.343667,410,446,517,549
621,10.360350,406,449,487,576
622,10.377033,399,454,452,596
623,10.393717,390,460,414,611
624,10.410400,377,467,376,620
625,10.427083,359,474,341,625
626,10.443767,340,479,306,628
627,10.460450,320,481,274,627
628,10.477133,298,481,245,623
629,10.493817,277,478,216,616
630,10.510500,261,473,189,606
631,10.527183,248,467,164,592
632,10.543867,244,465,139,574
633,10.560550,245,465,120,550
634,10.577233,247,466,107,524
635,10.593917,251,467,102,497
636,10.610600,255,470,103,471
637,10.627283,261,472,110,447
638,10.643967,268,474,122,427
639,10.660650,276,477,138,410
640,10.677333,286,479,157,397
641,10.694017,298,480,176,388
642,10.710700,312,481,193,383
643,10.727383,327,480,211,379
644,10.744067,339,479,226,377
645,10.760750,351,475,237,375
646,10.777433,362,473,247,373
647,10.794117,369,470,254,371
648,10.810800,370,469,259,367
649,10.827483,367,471,263,361
650,10.844167,360,473,265,355
651,10.860850,351,475,267,350
652,10.877533,341,478,268,345
653,10.894217,329,480,268,341
654,10.910900,314,481,267,336
655,10.927583,297,480,265,331
656,10.944267,281,478,263,326
657,10.960950,264,473,262,320
658,10.977633,248,467,260,315
659,10.994317,234,459,256,309
660,11.011000,225,453,250,303
661,11.027683,218,447,244,297
662,11.044367,214,445,237,294
663,11.061050,214,444,228,293
664,11.077733,217,447,218,294
665,11.094417,221,450,207,299
666,11.111100,230,457,194,308
667,11.127783,243,464,181,323
668,11.144467,257,470,169,344
669,11.161150,273,476,158,373
670,11.177833,288,479,151,410
671,11.194517,304,481,155,454
672,11.211200,318,481,175,500
673,11.227883,329,481,194,552
674,11.244567,333,479,241,597
675,11.261250,331,480,290,622
676,11.277933,321,481,357,632
677,11.294617,314,481,413,594
678,11.311300,315,480,451,550
679,11.327983,323,480,471,498
680,11.344667,335,479,483,453
681,11.361350,349,476,485,410
682,11.378033,363,472,477,374
683,11.394717,375,467,463,345
684,11.411400,383,463,447,325
685,11.428083,388,460,427,314
686,11.444767,386,461,408,310
687,11.461450,382,463,391,311
688,11.478133,375,467,374,314
689,11.494817,365,471,359,318
690,11.511500,355,475,344,323
691,11.528183,342,478,330,326
692,11.544867,331,479,315,329
693,11.561550,323,480,297,331
694,11.578233,316,480,278,334
695,11.594917,312,480,259,339
696,11.611600,315,481,238,350
697,11.628283,323,480,217,370
698,11.644967,332,480,202,399
699,11.661650,340,479,194,435
700,11.678333,348,477,195,477
701,11.695017,354,475,210,521
702,11.711700,358,474,236,562
703,11.728383,361,473,276,599
704,11.745067,362,473,330,616
705,11.761750,361,473,385,619
706,11.778433,359,474,434,604
707,11.795117,357,474,478,571
708,11.811800,359,473,499,533
709,11.828483,363,472,513,485
710,11.845167,370,469,520,444
711,11.861850,378,466,517,407
712,11.878533,383,464,505,375
713,11.895217,386,462,489,350
714,11.911900,386,461,468,333
715,11.928583,383,463,445,323
716,11.945267,377,466,420,319
717,11.961950,369,469,396,319
718,11.978633,359,474,373,322
719,11.995317,346,477,352,324
720,12.012000,330,480,331,328
721,12.028683,312,481,311,329
722,12.045367,295,480,292,329
723,12.062050,282,478,270,327
724,12.078733,270,474,247,326
725,12.095417,261,472,223,326
726,12.112100,256,470,197,330
727,12.128783,254,470,173,342
728,12.145467,257,471,151,362
729,12.162150,263,473,134,392
730,12.178833,270,475,123,430
731,12.195517,276,476,123,473
732,12.212200,280,478,136,517
733,12.228883,285,479,162,562
734,12.245567,290,480,199,602
735,12.262250,293,480,251,625
736,12.278933,298,480,299,627
737,12.295617,307,481,363,624
738,12.312300,318,480,404,603
739,12.328983,331,479,444,579
740,12.345667,344,477,476,550
741,12.362350,358,473,501,522
742,12.379033,368,470,518,493
743,12.395717,376,466,528,464
744,12.412400,382,465,531,439
745,12.429083,383,464,526,416
746,12.445767,382,464,517,397
747,12.462450,378,466,506,382
748,12.479133,373,469,491,372
749,12.495817,365,471,476,366
750,12.512500,356,474,461,363
751,12.529183,343,477,446,362
752,12.545867,329,480,432,365
753,12.562550,313,480,420,370
754,12.579233,297,480,411,375
755,12.595917,282,478,403,383
756,12.612600,268,474,398,392
757,12.629283,257,470,394,403
758,12.645967,251,468,393,413
759,12.662650,250,468,396,422
760,12.679333,255,470,403,432
761,12.696017,261,472,411,442
762,12.712700,269,475,421,455
763,12.729383,279,478,432,471
764,12.746067,291,479,445,490
765,12.762750,305,481,457,512
766,12.779433,323,480,466,536
767,12.796117,343,477,468,563
768,12.812800,365,472,461,587
769,12.829483,390,461,443,600
770,12.846167,408,447,420,598
771,12.862850,418,438,399,588
772,12.879533,425,432,379,575
773,12.896217,428,428,360,565
774,12.912900,429,428,343,557
775,12.929583,424,432,325,551
776,12.946267,418,439,306,547
777,12.962950,409,446,290,547
778,12.979633,398,454,274,549
779,12.996317,385,463,257,553
780,13.013000,368,471,242,561
781,13.029683,349,476,229,573
782,13.046367,328,480,219,586
783,13.063050,305,482,212,601
784,13.079733,279,478,211,614
785,13.096417,253,470,217,615
786,13.113100,232,458,224,607
787,13.129783,217,447,228,597
788,13.146467,206,437,231,586
789,13.163150,199,430,232,578
790,13.179833,196,427,234,576
791,13.196517,198,429,233,578
792,13.213200,202,433,233,583
793,13.229883,208,439,232,591
794,13.246567,218,447,229,600
795,13.263250,231,457,225,609
