stem,x_param,theta1_deg,omega1_deg_s
3.2V_1.00Hz,3.2000,54.4579,438.5260
3.2V_1.00Hz,3.2000,28.2274,271.9185
3.2V_1.00Hz,3.2000,62.2117,211.7817
3.2V_1.00Hz,3.2000,37.6294,310.2408
3.2V_1.00Hz,3.2000,66.8210,426.3362
3.2V_1.00Hz,3.2000,41.3788,348.8749
3.2V_1.00Hz,3.2000,31.3894,209.3967
3.2V_1.00Hz,3.2000,27.5204,292.3490
3.2V_1.00Hz,3.2000,32.8345,252.1166
3.2V_1.00Hz,3.2000,61.4753,-102.0187
3.2V_1.00Hz,3.2000,31.9008,286.7701
3.2V_1.00Hz,3.2000,35.5291,280.6219
3.2V_1.00Hz,3.2000,67.3652,260.8155
3.2V_1.00Hz,3.2000,42.7276,351.7279
