stem,x_param,theta1_deg,omega1_deg_s
3.2V_0.94Hz,0.9400,23.8921,-415.0316
3.2V_0.94Hz,0.9400,31.8359,-504.4616
3.2V_0.94Hz,0.9400,33.3392,-407.0895
3.2V_0.95Hz,0.9500,-58.7697,200.2588
3.2V_0.95Hz,0.9500,-49.2684,166.8585
3.2V_0.95Hz,0.9500,-57.7002,199.5477
3.2V_0.95Hz,0.9500,-66.9777,380.4902
3.2V_0.95Hz,0.9500,-55.1764,234.4903
3.2V_0.95Hz,0.9500,-47.9876,197.5539
3.2V_0.95Hz,0.9500,-59.0238,206.5738
3.2V_0.95Hz,0.9500,-30.6678,397.6697
3.2V_0.95Hz,0.9500,-43.2545,412.0027
3.2V_0.95Hz,0.9500,-42.1132,293.9976
3.2V_0.95Hz,0.9500,-53.7876,216.8942
3.2V_0.95Hz,0.9500,-70.5167,344.2512
3.2V_0.95Hz,0.9500,-63.5546,189.0459
3.2V_0.95Hz,0.9500,-26.3656,328.8059
3.2V_0.95Hz,0.9500,-50.7687,248.3462
3.2V_0.95Hz,0.9500,-72.3399,378.0071
3.2V_0.95Hz,0.9500,-53.0719,285.1112
3.2V_0.95Hz,0.9500,-57.5868,492.0800
3.2V_0.95Hz,0.9500,-51.6213,263.0503
3.2V_0.95Hz,0.9500,-64.3899,309.3799
3.2V_0.95Hz,0.9500,-58.5835,216.9368
3.2V_0.95Hz,0.9500,-73.8036,341.7158
3.2V_0.95Hz,0.9500,-44.5136,210.4587
3.2V_0.95Hz,0.9500,-62.1434,284.2611
3.2V_0.95Hz,0.9500,-69.3628,142.2520
3.2V_0.95Hz,0.9500,-62.9795,122.4373
3.2V_0.95Hz,0.9500,-63.2379,297.5875
3.2V_0.95Hz,0.9500,-57.3125,198.4525
3.2V_0.95Hz,0.9500,-59.0258,213.8100
3.2V_0.95Hz,0.9500,-50.8874,226.1421
3.2V_0.95Hz,0.9500,-60.2074,301.6109
3.2V_0.95Hz,0.9500,-65.7701,255.5855
3.2V_0.95Hz,0.9500,-52.7533,202.5631
3.2V_0.95Hz,0.9500,-58.6386,265.1031
3.2V_0.95Hz,0.9500,-64.7022,224.3906
3.2V_0.95Hz,0.9500,-62.3504,182.9727
3.2V_0.95Hz,0.9500,-63.9704,331.5489
3.2V_0.95Hz,0.9500,-58.4199,244.1596
3.2V_0.95Hz,0.9500,-60.7333,202.6423
3.2V_0.95Hz,0.9500,-61.2237,300.6806
3.2V_0.95Hz,0.9500,-57.3620,229.5684
3.2V_0.95Hz,0.9500,-55.0416,188.6189
3.2V_0.95Hz,0.9500,-72.0421,350.6364
3.2V_0.95Hz,0.9500,-54.1796,225.4707
3.2V_0.95Hz,0.9500,-58.5521,191.0388
3.2V_0.95Hz,0.9500,-73.6950,357.6608
3.2V_0.95Hz,0.9500,-55.9399,228.4793
3.2V_0.95Hz,0.9500,-72.9403,322.3164
3.2V_0.95Hz,0.9500,-38.9938,218.1157
3.2V_0.95Hz,0.9500,-47.1345,316.1453
3.2V_0.95Hz,0.9500,-68.5291,246.3769
3.2V_0.95Hz,0.9500,-55.7401,157.5897
3.2V_0.95Hz,0.9500,-73.8622,359.5431
3.2V_0.95Hz,0.9500,-52.5783,220.1049
3.2V_0.95Hz,0.9500,-54.0921,294.8538
3.2V_0.95Hz,0.9500,-62.2807,248.9001
3.2V_0.95Hz,0.9500,-47.5914,176.9621
3.2V_0.95Hz,0.9500,-66.4835,378.7770
3.2V_0.95Hz,0.9500,-56.9949,216.9485
3.2V_0.95Hz,0.9500,-60.3707,251.0823
3.2V_0.95Hz,0.9500,-58.1805,201.2768
3.2V_0.95Hz,0.9500,-71.2083,358.4315
3.2V_0.95Hz,0.9500,-46.2581,230.2592
3.2V_0.95Hz,0.9500,-47.1799,197.2571
3.2V_0.95Hz,0.9500,-72.4919,320.5568
3.2V_0.96Hz,0.9600,56.4969,408.5949
3.2V_0.96Hz,0.9600,21.7250,268.9171
3.2V_0.96Hz,0.9600,63.4382,474.0218
3.2V_0.96Hz,0.9600,41.4278,18.0259
3.2V_0.96Hz,0.9600,35.6037,532.4742
3.2V_0.96Hz,0.9600,24.6548,93.8033
3.2V_0.96Hz,0.9600,55.5779,255.2266
3.2V_0.96Hz,0.9600,23.0450,182.9917
3.2V_0.96Hz,0.9600,61.2153,284.8141
3.2V_0.96Hz,0.9600,34.4767,561.6793
3.2V_0.96Hz,0.9600,23.0515,118.9001
3.2V_0.96Hz,0.9600,54.3767,283.3823
3.2V_0.96Hz,0.9600,23.4612,212.9518
3.2V_0.96Hz,0.9600,37.2342,0.1597
